timestamp,open,high,low,close,volume
2015-01-01,100.0000,100.0519,99.8137,99.8471,1644492
2015-01-02,99.8471,101.1051,99.5516,100.7082,1243716
2015-01-03,100.7082,101.9755,100.4996,101.8094,1159806
2015-01-04,101.8094,102.3043,101.5750,101.9895,1601601
2015-01-05,101.9895,102.3000,101.0316,101.1063,1797498
2015-01-06,101.1063,103.0713,100.7318,102.7172,434829
2015-01-07,102.7172,102.9835,101.9464,102.3779,805889
2015-01-08,102.3779,105.2011,102.1980,104.9546,852834
2015-01-09,104.9546,106.3147,104.7757,105.9609,1224551
2015-01-10,105.9609,106.4695,103.5579,104.0563,265255
2015-01-11,104.0563,104.2449,101.4063,101.8532,1310795
2015-01-12,101.8532,101.8944,100.1191,100.2258,1486769
2015-01-13,100.2258,100.6300,100.0339,100.3835,311815
2015-01-14,100.3835,101.0676,100.1571,100.8250,1849256
2015-01-15,100.8250,101.0434,100.0172,100.0767,1533503
2015-01-16,100.0767,101.2611,99.7468,101.0128,458903
2015-01-17,101.0128,101.0611,99.9138,100.1454,1442176
2015-01-18,100.1454,100.4697,99.9496,100.3894,780070
2015-01-19,100.3894,101.9973,100.3793,101.5574,761552
2015-01-20,101.5574,101.9783,101.4918,101.8863,1289462
2015-01-21,101.8863,102.8524,101.7146,102.6647,1448158
2015-01-22,102.6647,102.8983,101.5996,101.6608,617215
2015-01-23,101.6608,102.0401,101.6272,101.6333,1323757
2015-01-24,101.6333,101.8064,100.2387,100.3639,390102
2015-01-25,100.3639,100.3717,99.7210,99.8591,1415849
2015-01-26,99.8591,100.2905,99.4770,100.0475,1350760
2015-01-27,100.0475,101.2677,99.6793,101.1521,1260198
2015-01-28,101.1521,101.1817,101.1006,101.1360,1611463
2015-01-29,101.1360,103.4772,101.1332,103.0535,813399
2015-01-30,103.0535,103.3059,100.7497,100.9584,1051527
2015-01-31,100.9584,102.9270,100.8051,102.9169,1697950
2015-02-01,102.9169,103.2124,99.1013,99.6965,1925609
2015-02-02,99.6965,100.1033,97.8995,98.0953,884154
2015-02-03,98.0953,98.1241,97.7120,98.0772,1732898
